DATETIME,PRICE
1975-02-13,1.1961
1975-02-14,1.1966
1975-02-17,
1975-02-18,1.1966
1975-02-19,1.1981
1975-02-20,1.2061
1975-02-21,1.2101
1975-02-24,1.2261
1975-02-25,1.2291
1975-02-26,1.2291
1975-02-27,1.2291
1975-02-28,1.2291
1975-03-03,1.2291
1975-03-04,1.2291
1975-03-05,1.2301
1975-03-06,1.2271
1975-03-07,1.2266
1975-03-10,1.2266
1975-03-11,1.2266
1975-03-12,1.2266
1975-03-13,1.2266
1975-03-14,1.2301
1975-03-17,1.2321
1975-03-18,1.2391
1975-03-19,1.2391
1975-03-20,1.2391
1975-03-21,1.2361
1975-03-24,1.2341
1975-03-25,1.2341
1975-03-26,1.2291
1975-03-27,1.2171
1975-03-28,
1975-03-31,1.2191
1975-04-01,1.2221
1975-04-02,1.2241
1975-04-03,1.2241
1975-04-04,1.2121
1975-04-07,1.2041
1975-04-08,1.2061
1975-04-09,1.2011
1975-04-10,1.1921
1975-04-11,1.1791
1975-04-14,1.1741
1975-04-15,1.1791
1975-04-16,1.1841
1975-04-17,1.2016
1975-04-18,1.2041
1975-04-21,1.1961
1975-04-22,1.1761
1975-04-23,1.1856
1975-04-24,1.1861
1975-04-25,1.1721
1975-04-28,1.1671
1975-04-29,1.1781
1975-04-30,1.1711
1975-05-01,1.1661
1975-05-02,1.1526
1975-05-05,1.1581
1975-05-06,1.1641
1975-05-07,1.1631
1975-05-08,1.1661
1975-05-09,1.1341
1975-05-12,1.1191
1975-05-13,1.1301
1975-05-14,1.1311
1975-05-15,1.1286
1975-05-16,1.1281
1975-05-19,1.1281
1975-05-20,1.1401
1975-05-21,1.1541
1975-05-22,1.1641
1975-05-23,1.1701
1975-05-26,
1975-05-27,1.1731
1975-05-28,1.1651
1975-05-29,1.1611
1975-05-30,1.1611
1975-06-02,1.1691
1975-06-03,1.1631
1975-06-04,1.1631
1975-06-05,1.1751
1975-06-06,1.1636
1975-06-09,1.1681
1975-06-10,1.1511
1975-06-11,1.1291
1975-06-12,1.1331
1975-06-13,1.1321
1975-06-16,1.1291
1975-06-17,1.1281
1975-06-18,1.1331
1975-06-19,1.1271
1975-06-20,1.1281
1975-06-23,1.1261
1975-06-24,1.1221
1975-06-25,1.1161
1975-06-26,1.1061
1975-06-27,1.0861
1975-06-30,1.0471
1975-07-01,1.0651
1975-07-02,1.0681
1975-07-03,1.0611
1975-07-04,
1975-07-07,1.0531
1975-07-08,1.0666
1975-07-09,1.0711
1975-07-10,1.0721
1975-07-11,1.0706
1975-07-14,1.0661
1975-07-15,1.0451
1975-07-16,1.0531
1975-07-17,1.0511
1975-07-18,1.0476
1975-07-21,1.0441
1975-07-22,1.0511
1975-07-23,1.0481
1975-07-24,1.0516
1975-07-25,1.0521
