DATETIME,PRICE
1976-08-02,0.0117685
1976-08-03,0.0117685
1976-08-04,0.0117685
1976-08-05,0.0117685
1976-08-06,0.0117685
1976-08-09,0.0117685
1976-08-10,0.0117685
1976-08-11,0.0117685
1976-08-12,0.0117685
1976-08-13,0.0117685
1976-08-16,0.0117685
1976-08-17,0.0118285
1976-08-18,0.0118455
1976-08-19,0.0118395
1976-08-20,0.0118395
1976-08-23,0.0118215
1976-08-24,0.0118215
1976-08-25,0.0118215
1976-08-26,0.0118225
1976-08-27,0.0118355
1976-08-30,0.0118325
1976-08-31,0.0118295
1976-09-01,0.0118295
1976-09-02,0.0118295
1976-09-03,0.0118375
1976-09-06,
1976-09-07,0.0118405
1976-09-08,0.0118405
1976-09-09,0.0118405
1976-09-10,0.0118405
1976-09-13,0.0118405
1976-09-14,0.0118455
1976-09-15,0.0118475
1976-09-16,0.0118485
1976-09-17,0.0118485
1976-09-20,0.0118515
1976-09-21,0.0118405
1976-09-22,0.0118505
1976-09-23,0.0118525
1976-09-24,0.0118425
1976-09-27,0.0118395
1976-09-28,0.0118475
1976-09-29,0.0118455
1976-09-30,0.0118475
1976-10-01,0.0118475
1976-10-04,0.0118475
1976-10-05,0.0118425
1976-10-06,0.0118375
1976-10-07,0.0118325
1976-10-08,0.0118175
1976-10-11,0.0118045
1976-10-12,0.0118015
1976-10-13,0.0117895
1976-10-14,0.0117755
1976-10-15,0.0117755
1976-10-18,0.0117755
1976-10-19,0.0117795
1976-10-20,0.0117795
1976-10-21,0.0117725
1976-10-22,0.0117685
1976-10-25,0.0117685
1976-10-26,0.0117675
1976-10-27,0.0117675
1976-10-28,0.0117705
1976-10-29,0.0117705
1976-11-01,0.0117475
1976-11-02,0.0117475
1976-11-03,0.0117575
1976-11-04,0.0117575
1976-11-05,0.0117575
1976-11-08,0.0117575
1976-11-09,0.0117575
1976-11-10,0.0117575
1976-11-11,0.0117575
1976-11-12,0.0117575
1976-11-15,0.0117575
1976-11-16,0.0117575
1976-11-17,0.0117525
1976-11-18,0.0117525
1976-11-19,0.0117525
1976-11-22,0.0117505
1976-11-23,0.0117435
1976-11-24,0.0117435
1976-11-25,
1976-11-26,0.0117435
1976-11-29,0.0117415
1976-11-30,0.0117295
1976-12-01,0.0117225
1976-12-02,0.0117275
1976-12-03,0.0117135
1976-12-06,0.0117325
1976-12-07,0.0117255
1976-12-08,0.0117265
1976-12-09,0.0117265
1976-12-10,0.0117455
1976-12-13,0.0117455
1976-12-14,0.0117375
1976-12-15,0.0117375
1976-12-16,0.0117335
1976-12-17,0.0117575
1976-12-20,0.0117745
1976-12-21,0.0117745
1976-12-22,0.0117745
1976-12-23,0.0117745
1976-12-24,
1976-12-27,0.0117795
1976-12-28,0.0117855
1976-12-29,0.0117745
1976-12-30,0.0117745
1976-12-31,
1977-01-03,0.0117745
1977-01-04,0.0117865
1977-01-05,0.0117825
1977-01-06,0.0117745
1977-01-07,0.0117805
1977-01-10,0.0117905
1977-01-11,0.0117905
1977-01-12,0.0117905
1977-01-13,0.0117815
1977-01-14,0.0117905
1977-01-17,0.0117995
1977-01-18,0.0118045
1977-01-19,0.0118275
1977-01-20,0.0118125
1977-01-21,0.0118115
1977-01-24,0.0118195
1977-01-25,0.0118325
1977-01-26,0.0118415
1977-01-27,0.0118265
1977-01-28,0.0118105
1977-01-31,0.0118365
1977-02-01,0.0118375
1977-02-02,0.0118395
1977-02-03,0.0118375
1977-02-04,0.0118345
1977-02-07,0.0118445
1977-02-08,0.0118465
1977-02-09,0.0118665
1977-02-10,0.0118685
1977-02-11,0.0118785
1977-02-14,0.0119175
1977-02-15,0.0118925
1977-02-16,0.0118925
1977-02-17,0.0118925
1977-02-18,0.0118925
1977-02-21,
1977-02-22,0.0118975
1977-02-23,0.0118975
1977-02-24,0.0119165
1977-02-25,0.0119375
1977-02-28,0.0119255
1977-03-01,0.0119285
1977-03-02,0.0119425
1977-03-03,0.0119425
1977-03-04,0.0119375
1977-03-07,0.0119345
1977-03-08,0.0119325
1977-03-09,0.0119215
1977-03-10,0.0119285
1977-03-11,0.0119295
1977-03-14,0.0119395
1977-03-15,0.0119325
1977-03-16,0.0119255
1977-03-17,0.0119315
1977-03-18,0.0119455
1977-03-21,0.0119705
1977-03-22,0.0119705
1977-03-23,0.0119865
1977-03-24,0.0119735
1977-03-25,0.0119805
1977-03-28,0.0120015
1977-03-29,0.0120025
1977-03-30,0.0119845
1977-03-31,0.0119895
1977-04-01,0.0120205
1977-04-04,0.0120305
1977-04-05,0.0120565
1977-04-06,0.0120495
1977-04-07,0.0120345
1977-04-08,
1977-04-11,0.0120715
1977-04-12,0.0120825
1977-04-13,0.0120575
1977-04-14,0.0120405
1977-04-15,0.0120375
