DATETIME,PRICE
2012-12-27,272.125
2012-12-28,
2012-12-31,
2013-01-01,
2013-01-02,
2013-01-03,
2013-01-04,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-14,
2013-01-15,
2013-01-16,
2013-01-17,
2013-01-18,
2013-01-21,273.775
2013-01-22,
2013-01-23,
2013-01-24,271.075
2013-01-25,
2013-01-28,
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,
2013-02-04,
2013-02-05,
2013-02-06,
2013-02-07,
2013-02-08,
2013-02-11,
2013-02-12,
2013-02-13,
2013-02-14,
2013-02-15,
2013-02-18,
2013-02-19,
2013-02-20,
2013-02-21,
2013-02-22,
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,
2013-03-01,
2013-03-04,
2013-03-05,
2013-03-06,
2013-03-07,
2013-03-08,
2013-03-11,
2013-03-12,
2013-03-13,273.525
2013-03-14,
2013-03-15,
2013-03-18,
2013-03-19,
2013-03-20,
2013-03-21,
2013-03-22,
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-04,
2013-04-05,
2013-04-08,
2013-04-09,262.775
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-15,
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-04-29,
2013-04-30,
2013-05-01,
2013-05-02,
2013-05-03,
2013-05-06,
2013-05-07,
2013-05-08,
2013-05-09,264.275
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-27,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-03,
2013-06-04,269.475
2013-06-05,266.375
2013-06-06,
2013-06-07,
2013-06-10,
2013-06-11,259.475
2013-06-12,257.175
2013-06-13,252.725
2013-06-14,252.975
2013-06-17,253.575
2013-06-18,254.575
2013-06-19,253.725
2013-06-20,247.675
2013-06-21,243.575
2013-06-24,241.375
2013-06-25,239.875
2013-06-26,238.925
2013-06-27,246.075
2013-06-28,249.025
2013-07-01,249.275
2013-07-02,249.375
2013-07-03,244.575
2013-07-04,246.275
2013-07-05,245.925
2013-07-08,243.175
2013-07-09,245.075
2013-07-10,243.725
2013-07-11,251.475
2013-07-12,250.075
2013-07-15,251.575
2013-07-16,249.625
2013-07-17,251.775
2013-07-18,250.575
2013-07-19,250.025
2013-07-22,250.825
2013-07-23,254.125
2013-07-24,255.225
2013-07-25,254.925
2013-07-26,255.975
2013-07-29,254.675
2013-07-30,256.575
2013-07-31,255.325
2013-08-01,256.875
2013-08-02,257.475
2013-08-05,256.175
2013-08-06,253.875
2013-08-07,250.275
2013-08-08,250.475
2013-08-09,250.825
2013-08-12,251.225
2013-08-13,255.275
2013-08-14,256.675
2013-08-15,
2013-08-16,256.325
2013-08-19,256.175
2013-08-20,252.375
2013-08-21,248.825
2013-08-22,247.425
2013-08-23,250.175
2013-08-26,252.725
2013-08-27,252.675
2013-08-28,252.725
2013-08-29,256.775
2013-08-30,258.225
2013-09-02,258.975
2013-09-03,259.875
2013-09-04,259.475
2013-09-05,262.725
2013-09-06,263.675
2013-09-09,265.575
2013-09-10,268.325
2013-09-11,269.525
2013-09-12,269.475
2013-09-13,268.675
2013-09-16,271.075
2013-09-17,269.775
2013-09-18,
2013-09-19,
2013-09-20,
2013-09-23,270.525
2013-09-24,270.225
2013-09-25,268.775
2013-09-26,270.875
2013-09-27,270.775
2013-09-30,268.625
2013-10-01,269.075
2013-10-02,269.375
2013-10-03,
2013-10-04,268.925
2013-10-07,268.725
2013-10-08,270.225
2013-10-09,
2013-10-10,269.275
2013-10-11,274.175
2013-10-14,273.775
2013-10-15,275.925
2013-10-16,276.175
2013-10-17,277.125
2013-10-18,278.525
2013-10-21,278.475
2013-10-22,278.375
2013-10-23,274.975
2013-10-24,276.275
2013-10-25,273.725
2013-10-28,276.575
2013-10-29,277.575
2013-10-30,278.475
2013-10-31,274.425
2013-11-01,275.075
2013-11-04,272.575
2013-11-05,271.225
2013-11-06,271.175
2013-11-07,269.075
2013-11-08,266.775
2013-11-11,267.275
2013-11-12,269.025
2013-11-13,264.075
2013-11-14,265.275
2013-11-15,270.325
2013-11-18,271.175
2013-11-19,274.175
2013-11-20,272.475
2013-11-21,267.775
2013-11-22,269.375
2013-11-25,271.875
2013-11-26,272.875
2013-11-27,273.375
2013-11-28,275.575
2013-11-29,275.725
2013-12-02,273.875
2013-12-03,270.475
2013-12-04,267.075
2013-12-05,266.275
2013-12-06,266.85
2013-12-09,269.55
2013-12-10,268.1
2013-12-11,264.85
2013-12-12,263.35
2013-12-13,262.95
2013-12-16,263.15
2013-12-17,264.7
2013-12-18,266.05
2013-12-19,265.5
2013-12-20,266.8
2013-12-23,269.2
2013-12-24,269.6
2013-12-25,
2013-12-26,269.15
2013-12-27,271.5
2013-12-30,271.7
2013-12-31,
2014-01-01,
2014-01-02,264.45
2014-01-03,261.3
2014-01-06,261.9
2014-01-07,263.1
2014-01-08,262.85
2014-01-09,261.55
2014-01-10,259.45
2014-01-13,261.5
2014-01-14,261.0
2014-01-15,261.9
2014-01-16,262.4
2014-01-17,260.05
2014-01-20,262.15
2014-01-21,263.95
2014-01-22,263.7
2014-01-23,260.65
2014-01-24,259.45
2014-01-27,256.25
2014-01-28,257.3
2014-01-29,260.55
2014-01-30,
2014-01-31,
2014-02-03,256.85
2014-02-04,252.1
2014-02-05,252.6
2014-02-06,254.45
2014-02-07,256.55
2014-02-10,256.85
2014-02-11,257.85
2014-02-12,258.75
2014-02-13,256.4
2014-02-14,259.85
2014-02-17,259.95
2014-02-18,260.05
2014-02-19,258.25
2014-02-20,257.35
2014-02-21,260.95
2014-02-24,260.5
2014-02-25,262.35
2014-02-26,263.3
2014-02-27,263.75
2014-02-28,263.55
2014-03-03,261.9
2014-03-04,261.9
