DATETIME,PRICE
2013-06-21,107.868
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-04,
2013-07-05,
2013-07-08,
2013-07-09,
2013-07-10,
2013-07-11,
2013-07-12,
2013-07-15,
2013-07-16,
2013-07-17,
2013-07-18,
2013-07-19,
2013-07-22,
2013-07-23,
2013-07-24,
2013-07-25,
2013-07-26,
2013-07-29,
2013-07-30,
2013-07-31,
2013-08-01,
2013-08-02,
2013-08-05,
2013-08-06,
2013-08-07,
2013-08-08,
2013-08-09,
2013-08-12,
2013-08-13,
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-19,
2013-08-20,
2013-08-21,
2013-08-22,
2013-08-23,
2013-08-26,
2013-08-27,
2013-08-28,
2013-08-29,
2013-08-30,
2013-09-02,
2013-09-03,
2013-09-04,
2013-09-05,
2013-09-06,
2013-09-09,
2013-09-10,106.518
2013-09-11,106.668
2013-09-12,107.068
2013-09-13,106.828
2013-09-16,107.678
2013-09-17,108.008
2013-09-18,
2013-09-19,
2013-09-20,
2013-09-23,108.708
2013-09-24,108.828
2013-09-25,108.858
2013-09-26,108.298
2013-09-27,108.418
2013-09-30,108.728
2013-10-01,108.398
2013-10-02,108.808
2013-10-03,
2013-10-04,108.798
2013-10-07,108.618
2013-10-08,108.278
2013-10-09,
2013-10-10,107.768
2013-10-11,107.918
2013-10-14,107.578
2013-10-15,107.628
2013-10-16,107.868
2013-10-17,108.098
2013-10-18,108.618
2013-10-21,108.568
2013-10-22,108.678
2013-10-23,109.468
2013-10-24,109.278
2013-10-25,109.368
2013-10-28,108.828
2013-10-29,109.218
2013-10-30,109.468
2013-10-31,109.168
2013-11-01,108.638
2013-11-04,108.448
2013-11-05,108.058
2013-11-06,108.238
2013-11-07,108.068
2013-11-08,108.258
2013-11-11,107.468
2013-11-12,107.388
2013-11-13,107.678
2013-11-14,107.548
2013-11-15,107.408
2013-11-18,107.468
2013-11-19,106.988
2013-11-20,106.978
2013-11-21,106.628
2013-11-22,107.018
2013-11-25,106.848
2013-11-26,107.038
2013-11-27,107.048
2013-11-28,106.878
2013-11-29,106.628
2013-12-02,106.158
2013-12-03,106.218
2013-12-04,106.268
2013-12-05,105.988
2013-12-06,106.268
2013-12-09,106.728
2013-12-10,106.618
2013-12-11,106.328
2013-12-12,106.418
2013-12-13,106.728
2013-12-16,107.22
2013-12-17,107.49
2013-12-18,107.27
2013-12-19,107.17
2013-12-20,107.27
2013-12-23,107.72
2013-12-24,107.82
2013-12-25,
2013-12-26,107.71
2013-12-27,107.96
2013-12-30,107.71
2013-12-31,
2014-01-01,
2014-01-02,106.82
2014-01-03,106.65
2014-01-06,107.18
2014-01-07,107.18
2014-01-08,107.18
2014-01-09,106.92
2014-01-10,107.12
2014-01-13,107.37
2014-01-14,107.21
2014-01-15,106.97
2014-01-16,107.21
2014-01-17,107.14
2014-01-20,107.12
2014-01-21,107.02
2014-01-22,106.84
2014-01-23,107.14
2014-01-24,107.81
2014-01-27,107.55
2014-01-28,107.62
2014-01-29,107.55
2014-01-30,
2014-01-31,
2014-02-03,107.64
