DATETIME,PRICE
1999-06-23,2613.0305
1999-06-24,2572.0305
1999-06-25,2569.0305
1999-06-28,2617.5305
1999-06-29,2648.0305
1999-06-30,2681.0305
1999-07-01,2681.0305
1999-07-02,2730.5305
1999-07-05,
1999-07-06,2719.0305
1999-07-07,2716.5305
1999-07-08,2743.0305
1999-07-09,2771.5305
1999-07-12,2758.5305
1999-07-13,2743.5305
1999-07-14,2789.0305
1999-07-15,2807.0305
1999-07-16,2828.0305
1999-07-19,2797.0305
1999-07-20,2711.0305
1999-07-21,2722.0305
1999-07-22,2662.0305
1999-07-23,2664.0305
1999-07-26,2609.0305
1999-07-27,2660.5305
1999-07-28,2692.0305
1999-07-29,2641.5305
1999-07-30,
1999-08-02,2628.0305
1999-08-03,2611.0305
1999-08-04,2568.0305
1999-08-05,2598.0305
1999-08-06,2576.0305
1999-08-09,2548.5305
1999-08-10,2529.5305
1999-08-11,2602.0305
1999-08-12,2577.0305
1999-08-13,2672.0305
1999-08-16,2692.5305
1999-08-17,2699.0305
1999-08-18,2675.5305
1999-08-19,2643.0305
1999-08-20,2683.5305
1999-08-23,2753.5305
1999-08-24,2770.5305
1999-08-25,2824.5305
1999-08-26,2783.0305
1999-08-27,2760.0305
1999-08-30,2727.5305
1999-08-31,2747.0305
1999-09-01,2768.0305
1999-09-02,2754.0305
1999-09-03,
1999-09-06,
1999-09-07,2841.5305
1999-09-08,2807.5305
1999-09-09,2847.5305
1999-09-10,2874.5305
1999-09-13,2835.0305
1999-09-14,2853.5305
1999-09-15,2803.5305
1999-09-16,
1999-09-17,2878.0305
1999-09-20,2874.5305
1999-09-21,2822.5305
1999-09-22,2846.0305
1999-09-23,2736.5305
1999-09-24,2735.5305
1999-09-27,2757.0305
1999-09-28,2775.0305
1999-09-29,2731.5305
1999-09-30,2745.5305
1999-10-01,2744.0305
1999-10-04,2803.0305
1999-10-05,2816.5305
1999-10-06,2872.5305
1999-10-07,2858.5305
1999-10-08,2887.5305
1999-10-11,2926.5305
1999-10-12,2838.0305
1999-10-13,2794.0305
1999-10-14,2804.5305
1999-10-15,2725.5305
1999-10-18,2690.5305
1999-10-19,2714.5305
1999-10-20,2761.5305
1999-10-21,2813.5305
1999-10-22,2806.0305
1999-10-25,2804.5305
1999-10-26,2774.5305
1999-10-27,2783.5305
1999-10-28,2868.5305
1999-10-29,2963.5305
1999-11-01,2944.0305
1999-11-02,2950.5305
1999-11-03,3007.5305
1999-11-04,
1999-11-05,3093.5305
1999-11-08,3117.5305
1999-11-09,3118.0305
1999-11-10,3124.5305
1999-11-11,3178.5305
1999-11-12,3214.5305
1999-11-15,3202.5305
1999-11-16,3282.5305
1999-11-17,3244.5305
1999-11-18,3322.5305
1999-11-19,3353.0305
1999-11-22,3378.5305
1999-11-23,3323.5305
1999-11-24,3428.5305
1999-11-25,
1999-11-26,3407.0305
1999-11-29,3358.5305
1999-11-30,3256.0305
1999-12-01,3298.5305
1999-12-02,3397.5305
1999-12-03,3462.5305
1999-12-06,3492.5305
1999-12-07,3500.0305
1999-12-08,3453.5305
1999-12-09,3455.5305
1999-12-10,3499.0305
1999-12-13,3531.0305
1999-12-14,3468.0305
1999-12-15,3519.5305
1999-12-16,3626.0305
1999-12-17,3658.0305
1999-12-20,3690.5305
1999-12-21,3843.0305
1999-12-22,3863.5305
1999-12-23,3888.0305
1999-12-24,
1999-12-27,3884.0305
1999-12-28,3866.5305
1999-12-29,3988.5305
