DATETIME,PRICE
2006-05-24,1485.4
2006-05-25,1495.4
2006-05-26,1499.5
2006-05-29,
2006-05-30,1494.3
2006-05-31,1457.2
2006-06-01,1439.2
2006-06-02,1452.0
2006-06-05,1466.4
2006-06-06,1445.3
2006-06-07,1440.9
2006-06-08,1396.0
2006-06-09,1396.1
2006-06-12,1378.3
2006-06-13,1328.3
2006-06-14,1346.3
2006-06-15,1368.3
2006-06-16,1347.0
2006-06-19,1340.2
2006-06-20,1371.4
2006-06-21,1397.3
2006-06-22,1378.5
2006-06-23,1368.8
2006-06-26,1385.2
2006-06-27,1393.4
2006-06-28,1382.6
2006-06-29,1391.1
2006-06-30,1432.1
2006-07-03,
2006-07-04,
2006-07-05,1439.0
2006-07-06,1440.0
2006-07-07,1434.1
2006-07-10,1421.1
2006-07-11,1444.4
2006-07-12,1458.0
2006-07-13,1453.9
2006-07-14,1456.9
2006-07-17,1439.4
2006-07-18,1424.0
2006-07-19,1426.9
2006-07-20,1415.7
2006-07-21,1409.4
2006-07-24,1398.2
2006-07-25,1418.9
2006-07-26,1423.8
2006-07-27,1431.4
2006-07-28,1423.6
2006-07-31,1431.5
2006-08-01,1448.4
2006-08-02,1450.5
2006-08-03,1436.4
2006-08-04,1447.4
2006-08-07,1458.3
2006-08-08,1447.4
2006-08-09,1454.4
2006-08-10,1441.9
2006-08-11,1446.8
2006-08-14,1425.7
2006-08-15,1433.8
2006-08-16,1443.4
2006-08-17,1426.7
2006-08-18,1417.0
2006-08-21,1435.5
2006-08-22,1431.5
2006-08-23,1430.5
2006-08-24,1432.1
2006-08-25,1427.4
2006-08-28,1422.1
2006-08-29,1421.9
2006-08-30,1431.9
2006-08-31,1447.6
2006-09-01,1451.2
2006-09-04,
2006-09-05,1475.6
2006-09-06,1469.9
2006-09-07,1451.3
2006-09-08,1423.9
2006-09-11,1393.0
2006-09-12,1400.9
2006-09-13,1378.2
2006-09-14,1371.9
2006-09-15,1355.1
2006-09-18,1358.8
2006-09-19,1346.3
2006-09-20,1331.4
2006-09-21,1333.9
2006-09-22,1343.0
2006-09-25,1329.6
2006-09-26,1328.5
2006-09-27,1332.4
2006-09-28,1345.4
2006-09-29,1335.6
2006-10-02,1344.6
2006-10-03,1315.3
2006-10-04,1267.8
2006-10-05,1271.6
2006-10-06,1266.2
2006-10-09,1280.3
2006-10-10,1261.1
2006-10-11,1258.2
2006-10-12,1260.0
2006-10-13,1268.7
2006-10-16,1276.7
2006-10-17,1268.4
2006-10-18,1278.5
2006-10-19,1280.2
2006-10-20,1267.5
2006-10-23,1259.8
2006-10-24,1248.5
2006-10-25,1254.4
2006-10-26,1268.7
2006-10-27,1265.1
2006-10-30,1278.6
2006-10-31,1271.9
2006-11-01,1286.1
2006-11-02,1349.6
2006-11-03,1394.8
2006-11-06,1382.1
2006-11-07,1377.7
2006-11-08,1352.7
2006-11-09,1386.4
2006-11-10,1395.0
2006-11-13,1389.3
2006-11-14,1358.6
2006-11-15,1356.2
2006-11-16,1374.7
2006-11-17,1377.5
2006-11-20,1419.7
2006-11-21,1404.5
2006-11-22,1339.4
2006-11-23,
2006-11-24,1339.4
2006-11-27,1332.8
2006-11-28,1336.0
2006-11-29,1337.8
2006-11-30,1362.1
2006-12-01,1339.9
2006-12-04,1345.4
2006-12-05,1319.1
2006-12-06,1311.1
2006-12-07,1310.3
2006-12-08,1293.2
2006-12-11,1294.6
2006-12-12,1300.4
2006-12-13,1293.2
2006-12-14,1298.1
2006-12-15,1289.9
2006-12-18,1287.5
2006-12-19,1303.9
2006-12-20,1312.0
2006-12-21,1312.8
2006-12-22,1310.5
2006-12-25,
2006-12-26,1310.5
2006-12-27,1303.2
2006-12-28,1303.2
2006-12-29,1322.8
2007-01-01,
2007-01-02,1322.8
2007-01-03,1313.9
2007-01-04,1314.0
2007-01-05,1290.5
2007-01-08,1305.4
2007-01-09,1312.2
2007-01-10,1335.3
2007-01-11,1323.3
2007-01-12,1330.6
2007-01-15,1332.5
2007-01-16,1324.3
2007-01-17,1333.1
2007-01-18,1347.0
2007-01-19,1347.0
2007-01-22,1343.6
2007-01-23,1361.7
2007-01-24,1351.6
2007-01-25,1366.5
2007-01-26,1360.0
2007-01-29,1353.2
2007-01-30,1359.1
2007-01-31,1360.8
2007-02-01,1371.3
2007-02-02,1342.0
2007-02-05,1350.2
2007-02-06,1368.8
2007-02-07,1381.5
2007-02-08,1376.8
2007-02-09,1380.3
2007-02-12,1369.8
2007-02-13,1384.5
2007-02-14,1395.6
2007-02-15,1395.4
