DATETIME,PRICE
2013-03-22,6484.925
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-04,
2013-04-05,
2013-04-08,
2013-04-09,6435.925
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-15,
2013-04-16,
2013-04-17,6417.925
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-04-29,6681.925
2013-04-30,
2013-05-01,
2013-05-02,
2013-05-03,6767.925
2013-05-06,
2013-05-07,6809.925
2013-05-08,6924.925
2013-05-09,
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,7105.925
2013-05-16,
2013-05-17,7066.925
2013-05-20,
2013-05-21,7105.925
2013-05-22,7136.925
2013-05-23,
2013-05-24,
2013-05-27,
2013-05-28,7052.925
2013-05-29,6904.925
2013-05-30,6856.925
2013-05-31,
2013-06-03,6703.925
2013-06-04,6636.925
2013-06-05,6565.925
2013-06-06,6552.925
2013-06-07,
2013-06-10,
2013-06-11,
2013-06-12,
2013-06-13,
2013-06-14,
2013-06-17,6552.925
2013-06-18,
2013-06-19,
2013-06-20,6471.925
2013-06-21,6248.925
2013-06-24,6082.925
2013-06-25,6227.925
2013-06-26,6383.925
2013-06-27,6490.925
2013-06-28,6471.925
2013-07-01,6559.925
2013-07-02,
2013-07-03,
2013-07-04,6637.925
2013-07-05,6612.925
2013-07-08,6684.925
2013-07-09,6762.925
2013-07-10,6754.925
2013-07-11,6822.925
2013-07-12,
2013-07-15,6824.925
2013-07-16,6757.925
2013-07-17,6769.925
2013-07-18,
2013-07-19,6756.925
2013-07-22,6757.925
2013-07-23,6744.925
2013-07-24,6744.925
2013-07-25,6702.925
2013-07-26,6632.925
2013-07-29,6637.925
2013-07-30,6645.925
2013-07-31,6664.925
2013-08-01,
2013-08-02,6787.925
2013-08-05,
2013-08-06,6838.925
2013-08-07,6807.925
2013-08-08,6800.925
2013-08-09,6792.925
2013-08-12,6818.925
2013-08-13,6866.925
2013-08-14,6902.925
2013-08-15,6806.925
2013-08-16,6781.925
2013-08-19,6763.925
2013-08-20,6773.925
2013-08-21,6717.925
2013-08-22,6832.925
2013-08-23,6828.925
2013-08-26,6852.925
2013-08-27,6682.925
2013-08-28,6613.925
2013-08-29,6582.925
2013-08-30,6576.925
2013-09-02,6708.925
2013-09-03,6702.925
2013-09-04,6718.925
2013-09-05,6770.925
2013-09-06,6777.925
2013-09-09,6780.925
2013-09-10,6872.925
2013-09-11,6896.925
2013-09-12,6859.925
2013-09-13,6865.925
2013-09-16,6860.925
2013-09-17,6855.925
2013-09-18,6962.925
2013-09-19,6944.925
2013-09-20,6915.925
2013-09-23,6901.925
2013-09-24,6884.925
2013-09-25,6872.925
2013-09-26,6892.925
2013-09-27,6890.925
2013-09-30,6852.925
2013-10-01,6892.925
2013-10-02,6786.925
2013-10-03,6762.925
2013-10-04,6780.925
2013-10-07,6711.925
2013-10-08,6654.925
2013-10-09,6574.925
2013-10-10,6675.925
2013-10-11,6773.925
2013-10-14,6755.925
2013-10-15,6823.925
2013-10-16,6815.925
2013-10-17,6848.925
2013-10-18,6905.925
2013-10-21,6955.925
2013-10-22,7041.925
2013-10-23,7039.925
2013-10-24,7066.925
2013-10-25,7065.925
2013-10-28,7113.925
2013-10-29,7063.925
2013-10-30,7067.925
2013-10-31,7082.925
2013-11-01,7042.925
2013-11-04,7023.925
2013-11-05,6977.925
2013-11-06,7064.925
2013-11-07,7053.925
2013-11-08,7061.925
2013-11-11,7103.925
2013-11-12,7095.925
2013-11-13,7065.925
2013-11-14,7141.925
2013-11-15,7161.925
2013-11-18,7178.925
2013-11-19,7135.925
2013-11-20,7115.925
2013-11-21,7106.925
2013-11-22,7091.925
2013-11-25,7139.925
2013-11-26,7089.925
2013-11-27,7092.925
2013-11-28,7086.925
2013-11-29,7109.925
2013-12-02,7095.925
2013-12-03,6931.925
2013-12-04,6868.925
2013-12-05,6856.925
2013-12-06,6910.925
2013-12-09,6900.925
2013-12-10,6810.925
2013-12-11,6816.925
2013-12-12,6678.925
2013-12-13,6667.925
2013-12-16,6691.925
2013-12-17,6680.925
2013-12-18,6725.55
2013-12-19,6850.55
2013-12-20,6921.55
2013-12-23,6937.55
2013-12-24,6937.55
2013-12-25,
2013-12-26,
2013-12-27,7066.55
2013-12-30,7019.55
2013-12-31,
2014-01-01,
2014-01-02,7019.55
2014-01-03,7113.55
2014-01-06,7094.55
2014-01-07,7162.55
2014-01-08,7168.55
2014-01-09,7120.55
2014-01-10,
2014-01-13,7251.55
2014-01-14,7220.55
2014-01-15,7261.55
2014-01-16,7288.55
2014-01-17,7307.55
2014-01-20,7307.55
2014-01-21,7293.55
2014-01-22,7292.55
2014-01-23,7245.55
2014-01-24,7015.55
2014-01-27,6956.55
2014-01-28,7009.55
2014-01-29,6956.55
2014-01-30,7026.55
2014-01-31,6995.55
2014-02-03,6929.55
2014-02-04,6926.55
2014-02-05,6941.55
2014-02-06,7046.55
2014-02-07,7046.55
2014-02-10,7145.55
2014-02-11,7184.55
2014-02-12,7233.55
2014-02-13,7213.55
2014-02-14,7046.55
2014-02-17,7247.55
2014-02-18,7242.55
2014-02-19,7229.55
2014-02-20,7215.55
2014-02-21,7046.55
2014-02-24,7300.55
2014-02-25,7331.55
2014-02-26,7352.55
2014-02-27,7345.55
2014-02-28,7046.55
2014-03-03,7157.55
2014-03-04,7319.55
2014-03-05,7332.55
2014-03-06,7395.55
2014-03-07,7293.55
2014-03-10,7272.55
2014-03-11,7261.55
2014-03-12,7214.55
2014-03-13,7129.55
2014-03-14,7033.55
2014-03-17,7077.55
2014-03-18,7159.55
2014-03-19,7142.55
2014-03-20,7161.55
2014-03-21,7221.55
2014-03-24,7121.55
2014-03-25,7214.55
2014-03-26,7246.55
2014-03-27,7231.55
2014-03-28,7278.55
2014-03-31,7363.55
2014-04-01,7365.55
2014-04-02,7425.55
2014-04-03,7434.55
2014-04-04,7429.55
2014-04-07,7343.55
2014-04-08,7356.55
2014-04-09,7336.55
2014-04-10,7357.55
2014-04-11,7244.55
2014-04-14,7284.55
2014-04-15,7262.55
2014-04-16,7303.55
2014-04-17,7352.55
2014-04-18,
2014-04-21,
2014-04-22,7461.55
2014-04-23,7439.55
2014-04-24,7401.55
2014-04-25,7358.55
2014-04-28,7382.55
2014-04-29,7448.55
2014-04-30,7459.55
2014-05-01,
2014-05-02,7429.55
2014-05-05,7411.55
2014-05-06,7401.55
2014-05-07,7425.55
2014-05-08,7476.55
2014-05-09,7503.55
2014-05-12,7563.55
2014-05-13,7563.55
2014-05-14,7630.55
2014-05-15,7661.55
2014-05-16,7696.55
2014-05-19,7690.55
2014-05-20,7670.55
2014-05-21,7691.55
2014-05-22,7723.55
2014-05-23,7753.55
2014-05-26,7736.55
2014-05-27,7747.55
2014-05-28,7747.55
2014-05-29,7747.55
2014-05-30,7697.55
2014-06-02,7725.55
2014-06-03,7697.55
2014-06-04,7676.55
2014-06-05,7685.55
2014-06-06,7684.55
2014-06-09,7684.55
2014-06-10,7786.55
2014-06-11,7724.55
2014-06-12,7706.55
2014-06-13,7682.55
2014-06-16,7686.55
2014-06-17,7706.55
2014-06-18,7686.55
2014-06-19,7697.55
2014-06-20,7752.55
2014-06-23,7671.55
2014-06-24,7702.55
2014-06-25,7630.55
2014-06-26,7570.55
2014-06-27,7586.55
2014-06-30,7585.55
2014-07-01,7653.55
2014-07-02,7638.55
2014-07-03,7728.55
2014-07-04,7715.55
2014-07-07,7637.55
2014-07-08,7592.55
2014-07-09,7568.55
2014-07-10,7514.55
2014-07-11,7494.55
2014-07-14,7612.55
2014-07-15,7608.55
2014-07-16,7648.55
2014-07-17,7601.55
2014-07-18,7558.55
2014-07-21,7539.55
2014-07-22,7627.55
2014-07-23,7620.55
2014-07-24,7668.55
2014-07-25,7595.55
2014-07-28,7553.55
2014-07-29,7568.55
2014-07-30,7524.55
2014-07-31,7451.55
2014-08-01,7451.55
2014-08-04,7328.55
2014-08-05,7384.55
2014-08-06,7321.55
2014-08-07,7325.55
2014-08-08,7304.55
2014-08-11,7362.55
2014-08-12,7358.55
2014-08-13,7410.55
2014-08-14,7462.55
2014-08-15,7436.55
2014-08-18,7479.55
2014-08-19,7554.55
2014-08-20,7553.55
2014-08-21,7607.55
2014-08-22,7577.55
2014-08-25,7650.55
2014-08-26,7709.55
2014-08-27,7703.55
2014-08-28,7659.55
2014-08-29,7674.55
2014-09-01,7778.55
2014-09-02,7790.55
2014-09-03,7859.55
2014-09-04,7868.55
2014-09-05,7820.55
2014-09-08,7840.55
2014-09-09,7865.55
2014-09-10,7845.55
2014-09-11,7853.55
2014-09-12,7815.55
2014-09-15,7826.55
2014-09-16,7820.55
2014-09-17,7854.55
2014-09-18,7859.55
2014-09-19,7863.55
2014-09-22,7846.55
2014-09-23,7806.55
2014-09-24,7836.55
2014-09-25,7796.55
2014-09-26,7817.55
2014-09-29,7814.55
2014-09-30,7877.55
2014-10-01,7824.55
2014-10-02,7695.55
2014-10-03,7724.55
2014-10-06,7762.55
2014-10-07,7598.55
2014-10-08,7533.55
2014-10-09,7519.55
2014-10-10,7413.55
2014-10-13,7371.55
2014-10-14,7386.55
2014-10-15,7191.55
2014-10-16,7065.55
2014-10-17,7308.55
2014-10-20,7316.55
2014-10-21,7423.55
2014-10-22,7574.55
2014-10-23,7574.55
2014-10-24,7553.55
2014-10-27,7556.55
2014-10-28,7669.55
2014-10-29,7681.55
2014-10-30,7754.55
