DATETIME,PRICE
1997-09-10,1035.547
1997-09-11,1028.547
1997-09-12,1044.547
1997-09-15,1042.547
1997-09-16,1066.547
1997-09-17,1066.547
1997-09-18,1068.547
1997-09-19,1071.547
1997-09-22,1076.547
1997-09-23,1072.547
1997-09-24,1065.547
1997-09-25,1057.547
1997-09-26,1063.547
1997-09-29,1072.547
1997-09-30,1064.547
1997-10-01,1074.547
1997-10-02,1079.547
1997-10-03,1085.547
1997-10-06,1092.547
1997-10-07,1100.547
1997-10-08,1093.547
1997-10-09,1088.547
1997-10-10,1087.547
1997-10-13,1086.547
1997-10-14,1087.547
1997-10-15,1084.547
1997-10-16,1070.547
1997-10-17,1059.547
1997-10-20,1073.547
1997-10-21,1089.547
1997-10-22,1084.547
1997-10-23,1065.547
1997-10-24,1054.547
1997-10-27,984.547
1997-10-28,1035.547
1997-10-29,1035.547
1997-10-30,1013.547
1997-10-31,1034.547
1997-11-03,1056.547
1997-11-04,1056.547
1997-11-05,1058.547
1997-11-06,1053.547
1997-11-07,1041.547
1997-11-10,1036.547
1997-11-11,1037.547
1997-11-12,1019.547
1997-11-13,1029.547
1997-11-14,1043.547
1997-11-17,1060.547
1997-11-18,1052.547
1997-11-19,1058.547
1997-11-20,1073.547
1997-11-21,1080.547
1997-11-24,1060.547
1997-11-25,1060.547
1997-11-26,1064.547
1997-11-27,
1997-11-28,1064.547
1997-12-01,1088.547
1997-12-02,1084.547
1997-12-03,1087.547
1997-12-04,1086.547
1997-12-05,1096.547
1997-12-08,1094.547
1997-12-09,1088.547
1997-12-10,1079.547
1997-12-11,1063.547
1997-12-12,1065.547
1997-12-15,1073.547
1997-12-16,1079.547
1997-12-17,1073.547
1997-12-18,1063.547
1997-12-19,1055.547
1997-12-22,1061.547
1997-12-23,1043.547
1997-12-24,1040.547
1997-12-25,
1997-12-26,1044.547
1997-12-29,1064.547
1997-12-30,1078.547
1997-12-31,1077.547
1998-01-01,
1998-01-02,1083.547
1998-01-05,1085.547
1998-01-06,1069.547
1998-01-07,1072.547
1998-01-08,1059.547
1998-01-09,1027.547
1998-01-12,1044.547
1998-01-13,1058.547
1998-01-14,1061.547
1998-01-15,1053.547
1998-01-16,1067.547
1998-01-19,
1998-01-20,1084.547
1998-01-21,1074.547
1998-01-22,1064.547
1998-01-23,1062.547
1998-01-26,1062.547
1998-01-27,1072.547
1998-01-28,1080.547
1998-01-29,1085.547
1998-01-30,1085.547
1998-02-02,1102.547
1998-02-03,1109.547
1998-02-04,1108.547
1998-02-05,1108.547
1998-02-06,1117.547
1998-02-09,1113.547
1998-02-10,1123.547
1998-02-11,1122.547
1998-02-12,1125.547
1998-02-13,1120.547
1998-02-16,
1998-02-17,1126.547
1998-02-18,1134.547
1998-02-19,1129.547
1998-02-20,1135.547
1998-02-23,
1998-02-24,1131.547
1998-02-25,1143.547
1998-02-26,1149.547
1998-02-27,1148.547
1998-03-02,1147.547
1998-03-03,1153.547
1998-03-04,1145.547
1998-03-05,1136.547
1998-03-06,1154.547
1998-03-09,1151.547
1998-03-10,1163.547
1998-03-11,1166.547
1998-03-12,1171.547
1998-03-13,1167.547
1998-03-16,1178.547
1998-03-17,1180.547
1998-03-18,1184.547
1998-03-19,1188.547
1998-03-20,1198.547
1998-03-23,1195.547
1998-03-24,1204.547
1998-03-25,1200.547
1998-03-26,1197.547
1998-03-27,1194.547
1998-03-30,1191.547
1998-03-31,1197.547
1998-04-01,1205.547
1998-04-02,1217.547
1998-04-03,1221.547
1998-04-06,1213.547
1998-04-07,1205.547
1998-04-08,1198.547
1998-04-09,1206.547
1998-04-10,
1998-04-13,1203.547
1998-04-14,1211.547
1998-04-15,1215.547
1998-04-16,1201.547
1998-04-17,1217.547
1998-04-20,1215.547
1998-04-21,1222.547
1998-04-22,1223.547
1998-04-23,1212.547
1998-04-24,1199.547
1998-04-27,1179.547
1998-04-28,1177.547
1998-04-29,1183.547
1998-04-30,1206.547
1998-05-01,1215.547
1998-05-04,1214.547
1998-05-05,1206.547
1998-05-06,1193.547
1998-05-07,1184.547
1998-05-08,1202.547
1998-05-11,1199.547
1998-05-12,1209.547
1998-05-13,1210.547
1998-05-14,1205.547
1998-05-15,1199.547
1998-05-18,1195.547
1998-05-19,1202.547
1998-05-20,1210.547
1998-05-21,1204.547
1998-05-22,1200.547
1998-05-25,
1998-05-26,
1998-05-27,1183.547
1998-05-28,1187.547
1998-05-29,1177.547
1998-06-01,1181.547
1998-06-02,1185.547
1998-06-03,1164.547
1998-06-04,1184.547
1998-06-05,1203.547
1998-06-08,1203.547
1998-06-09,1185.547
1998-06-10,1185.547
1998-06-11,1177.547
1998-06-12,1187.547
1998-06-15,1160.547
1998-06-16,1174.547
1998-06-17,1196.547
1998-06-18,1192.547
1998-06-19,1186.547
1998-06-22,1191.547
1998-06-23,1205.547
1998-06-24,1220.547
1998-06-25,1218.547
1998-06-26,1222.547
1998-06-29,1226.547
1998-06-30,1217.547
1998-07-01,1231.547
1998-07-02,1233.547
1998-07-03,
1998-07-06,1245.547
1998-07-07,1241.547
1998-07-08,1249.547
1998-07-09,1241.547
1998-07-10,1247.547
1998-07-13,1248.547
1998-07-14,1261.547
1998-07-15,1258.547
1998-07-16,1266.547
1998-07-17,1268.547
1998-07-20,1268.547
1998-07-21,1247.547
1998-07-22,1246.547
1998-07-23,1222.547
1998-07-24,1222.547
1998-07-27,1227.547
1998-07-28,1210.547
1998-07-29,1205.547
1998-07-30,1221.547
1998-07-31,1197.547
1998-08-03,1191.547
1998-08-04,1151.547
1998-08-05,1163.547
1998-08-06,1168.547
1998-08-07,1169.547
1998-08-10,1163.547
1998-08-11,1145.547
1998-08-12,1164.547
1998-08-13,1149.547
1998-08-14,1136.547
1998-08-17,1158.547
1998-08-18,1180.547
1998-08-19,1177.547
1998-08-20,1169.547
1998-08-21,1160.547
1998-08-24,1168.547
1998-08-25,1170.547
1998-08-26,1162.547
1998-08-27,1109.547
1998-08-28,1105.547
1998-08-31,1027.547
1998-09-01,1073.547
1998-09-02,1064.547
1998-09-03,1058.547
1998-09-04,1049.547
1998-09-07,
1998-09-08,1101.547
1998-09-09,1076.547
1998-09-10,1057.547
1998-09-11,1087.547
1998-09-14,1104.547
1998-09-15,1110.547
1998-09-16,1122.547
1998-09-17,1091.547
1998-09-18,1095.547
1998-09-21,1094.547
1998-09-22,1103.547
1998-09-23,1141.547
1998-09-24,1117.547
1998-09-25,1114.547
1998-09-28,1126.547
1998-09-29,1120.547
1998-09-30,1089.547
1998-10-01,1058.547
1998-10-02,1076.547
1998-10-05,1058.547
1998-10-06,1058.547
1998-10-07,1042.547
1998-10-08,1033.547
1998-10-09,1055.547
1998-10-12,1069.547
1998-10-13,1066.547
1998-10-14,1074.547
1998-10-15,1127.547
1998-10-16,1130.547
1998-10-19,1133.547
1998-10-20,1138.547
1998-10-21,1136.547
1998-10-22,1150.547
1998-10-23,1137.547
1998-10-26,1144.547
1998-10-27,1138.547
1998-10-28,1134.547
1998-10-29,1160.547
1998-10-30,1169.547
1998-11-02,1184.547
1998-11-03,1177.547
1998-11-04,1188.547
1998-11-05,1204.547
1998-11-06,1211.547
1998-11-09,1200.547
1998-11-10,1192.547
1998-11-11,1189.547
1998-11-12,1187.547
1998-11-13,1197.547
1998-11-16,1206.547
1998-11-17,1207.547
1998-11-18,1214.547
1998-11-19,1222.547
1998-11-20,1231.547
1998-11-23,1258.547
1998-11-24,1250.547
1998-11-25,1249.547
1998-11-26,
1998-11-27,1257.547
1998-11-30,1225.547
1998-12-01,1237.547
1998-12-02,1235.547
1998-12-03,1216.547
1998-12-04,1244.547
1998-12-07,1251.547
1998-12-08,1244.547
1998-12-09,1247.547
1998-12-10,1229.547
1998-12-11,1226.547
1998-12-14,1199.547
1998-12-15,1226.547
1998-12-16,1226.547
1998-12-17,1244.547
1998-12-18,1248.547
1998-12-21,1266.547
1998-12-22,1267.547
1998-12-23,1294.547
1998-12-24,1291.547
1998-12-25,
1998-12-28,1285.547
1998-12-29,1306.547
1998-12-30,1293.547
1998-12-31,1297.547
1999-01-01,
1999-01-04,1292.547
1999-01-05,1304.547
1999-01-06,1331.547
1999-01-07,1329.547
1999-01-08,1339.547
1999-01-11,1325.547
1999-01-12,1302.547
1999-01-13,1290.547
1999-01-14,1270.547
1999-01-15,1300.547
1999-01-18,
1999-01-19,1308.547
1999-01-20,1320.547
1999-01-21,1284.547
1999-01-22,1283.547
1999-01-25,1295.547
1999-01-26,1317.547
1999-01-27,1300.547
1999-01-28,1317.547
1999-01-29,1333.547
1999-02-01,1325.547
1999-02-02,1316.547
1999-02-03,1329.547
1999-02-04,1310.547
1999-02-05,1295.547
1999-02-08,1298.547
1999-02-09,1270.547
1999-02-10,1276.547
1999-02-11,1314.547
1999-02-12,1289.547
1999-02-15,
1999-02-16,1293.547
1999-02-17,1280.547
1999-02-18,1290.547
1999-02-19,1294.547
1999-02-22,1326.547
1999-02-23,1326.547
1999-02-24,1303.547
1999-02-25,1291.547
1999-02-26,1285.547
1999-03-01,1289.547
1999-03-02,1280.547
1999-03-03,1284.547
1999-03-04,1300.547
1999-03-05,1329.547
1999-03-08,1334.547
1999-03-09,1331.547
1999-03-10,1339.547
1999-03-11,1355.547
1999-03-12,1342.547
1999-03-15,1357.547
1999-03-16,1357.547
1999-03-17,1350.547
