DATETIME,PRICE
2013-03-26,52.74
2013-03-27,52.79
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,52.74
2013-04-03,52.74
2013-04-04,52.99
2013-04-05,53.19
2013-04-08,53.09
2013-04-09,53.09
2013-04-10,52.54
2013-04-11,52.54
2013-04-12,52.64
2013-04-15,52.69
2013-04-16,52.64
2013-04-17,53.14
2013-04-18,53.04
2013-04-19,52.64
2013-04-22,52.39
2013-04-23,
2013-04-24,
2013-04-25,51.89
2013-04-26,52.04
2013-04-29,51.99
2013-04-30,51.94
2013-05-01,
2013-05-02,51.59
2013-05-03,51.34
2013-05-06,
2013-05-07,51.24
2013-05-08,51.14
2013-05-09,51.14
2013-05-10,51.34
2013-05-13,51.19
2013-05-14,51.19
2013-05-15,51.44
2013-05-16,51.74
2013-05-17,51.69
2013-05-20,51.84
2013-05-21,52.04
2013-05-22,52.04
2013-05-23,52.34
2013-05-24,52.39
2013-05-27,52.34
2013-05-28,52.19
2013-05-29,52.49
2013-05-30,52.54
2013-05-31,52.54
2013-06-03,52.84
2013-06-04,52.69
2013-06-05,53.04
2013-06-06,53.04
2013-06-07,52.54
2013-06-10,52.49
2013-06-11,52.54
2013-06-12,52.89
2013-06-13,53.09
2013-06-14,53.19
2013-06-17,52.89
2013-06-18,52.94
2013-06-19,52.69
2013-06-20,53.74
2013-06-21,54.09
2013-06-24,54.54
2013-06-25,54.39
2013-06-26,54.19
2013-06-27,53.99
2013-06-28,54.04
2013-07-01,53.99
2013-07-02,53.99
2013-07-03,54.19
2013-07-04,53.49
2013-07-05,53.99
2013-07-08,53.44
2013-07-09,53.24
2013-07-10,53.24
2013-07-11,52.94
2013-07-12,52.84
2013-07-15,52.64
2013-07-16,52.49
2013-07-17,52.44
2013-07-18,51.99
2013-07-19,51.84
2013-07-22,51.69
2013-07-23,51.49
2013-07-24,51.24
2013-07-25,51.59
2013-07-26,51.54
2013-07-29,51.59
2013-07-30,51.54
2013-07-31,51.44
2013-08-01,50.94
2013-08-02,50.54
2013-08-05,50.44
2013-08-06,50.79
2013-08-07,50.94
2013-08-08,50.74
2013-08-09,50.79
2013-08-12,50.59
2013-08-13,50.64
2013-08-14,50.59
2013-08-15,50.99
2013-08-16,50.74
2013-08-19,50.79
2013-08-20,51.19
2013-08-21,51.54
2013-08-22,50.89
2013-08-23,50.69
2013-08-26,50.59
2013-08-27,51.84
2013-08-28,52.14
2013-08-29,51.79
2013-08-30,52.49
2013-09-02,51.94
2013-09-03,52.19
2013-09-04,52.29
2013-09-05,52.09
2013-09-06,51.69
2013-09-09,51.49
2013-09-10,51.09
2013-09-11,50.74
2013-09-12,50.64
2013-09-13,50.74
2013-09-16,50.49
2013-09-17,50.49
2013-09-18,50.19
2013-09-19,49.69
2013-09-20,49.54
2013-09-23,49.74
2013-09-24,49.39
2013-09-25,49.34
2013-09-26,49.34
2013-09-27,49.34
2013-09-30,49.94
2013-10-01,49.79
2013-10-02,49.94
2013-10-03,50.49
2013-10-04,50.44
2013-10-07,50.59
2013-10-08,51.34
2013-10-09,51.84
2013-10-10,50.89
2013-10-11,50.44
2013-10-14,50.74
2013-10-15,50.04
2013-10-16,49.84
2013-10-17,49.19
2013-10-18,48.39
2013-10-21,48.29
2013-10-22,48.09
2013-10-23,48.44
2013-10-24,48.19
2013-10-25,48.09
2013-10-28,48.14
2013-10-29,47.74
2013-10-30,47.99
2013-10-31,47.74
2013-11-01,48.09
2013-11-04,47.89
2013-11-05,48.04
2013-11-06,47.99
2013-11-07,48.09
2013-11-08,48.14
2013-11-11,48.14
2013-11-12,48.19
2013-11-13,48.44
2013-11-14,47.79
2013-11-15,47.74
2013-11-18,47.49
2013-11-19,47.59
2013-11-20,47.19
2013-11-21,46.99
2013-11-22,46.89
2013-11-25,46.64
2013-11-26,46.54
2013-11-27,46.34
2013-11-28,46.14
2013-11-29,46.44
2013-12-02,46.59
2013-12-03,47.14
2013-12-04,47.19
2013-12-05,47.44
2013-12-06,46.89
2013-12-09,46.49
2013-12-10,46.69
2013-12-11,47.04
2013-12-12,47.14
2013-12-13,47.19
2013-12-16,46.79
2013-12-17,47.09
2013-12-18,46.64
2013-12-19,45.94
2013-12-20,45.64
2013-12-23,45.44
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,45.49
2013-12-30,45.49
2013-12-31,
2014-01-01,
2014-01-02,46.19
2014-01-03,45.94
2014-01-06,45.89
2014-01-07,45.59
2014-01-08,45.69
2014-01-09,45.79
2014-01-10,45.54
2014-01-13,45.54
2014-01-14,45.49
2014-01-15,45.34
2014-01-16,45.59
2014-01-17,45.49
2014-01-20,45.14
2014-01-21,45.29
2014-01-22,45.24
2014-01-23,45.69
2014-01-24,46.64
2014-01-27,46.69
2014-01-28,46.59
2014-01-29,46.99
2014-01-30,47.09
2014-01-31,47.44
2014-02-03,48.69
2014-02-04,48.84
2014-02-05,48.99
2014-02-06,47.94
2014-02-07,46.84
2014-02-10,46.74
2014-02-11,45.64
2014-02-12,45.74
2014-02-13,45.64
2014-02-14,47.44
2014-02-17,45.24
2014-02-18,45.09
2014-02-19,44.89
2014-02-20,45.24
2014-02-21,47.44
2014-02-24,44.69
2014-02-25,44.59
2014-02-26,44.64
2014-02-27,44.94
2014-02-28,47.44
2014-03-03,46.49
2014-03-04,45.04
2014-03-05,45.19
2014-03-06,44.89
2014-03-07,45.79
2014-03-10,45.99
2014-03-11,45.94
2014-03-12,46.24
2014-03-13,47.09
2014-03-14,47.54
2014-03-17,46.69
2014-03-18,45.99
2014-03-19,45.59
2014-03-20,45.24
2014-03-21,45.04
2014-03-24,46.04
2014-03-25,45.44
2014-03-26,44.99
2014-03-27,45.04
2014-03-28,44.74
2014-03-31,44.69
2014-04-01,44.29
2014-04-02,43.99
2014-04-03,43.79
2014-04-04,
2014-04-07,43.39
2014-04-08,43.29
2014-04-09,43.04
2014-04-10,43.19
2014-04-11,43.64
2014-04-14,43.64
2014-04-15,44.09
2014-04-16,43.34
2014-04-17,43.19
2014-04-18,
2014-04-21,
2014-04-22,42.54
2014-04-23,42.79
2014-04-24,42.69
2014-04-25,43.29
2014-04-28,42.99
2014-04-29,42.69
2014-04-30,42.64
2014-05-01,
2014-05-02,42.94
2014-05-05,42.79
2014-05-06,43.09
2014-05-07,42.84
2014-05-08,42.14
2014-05-09,42.39
2014-05-12,41.84
2014-05-13,41.69
2014-05-14,41.59
2014-05-15,42.24
2014-05-16,41.74
2014-05-19,41.49
2014-05-20,41.14
2014-05-21,41.24
2014-05-22,40.94
2014-05-23,41.09
2014-05-26,40.69
2014-05-27,40.69
2014-05-28,40.59
2014-05-29,40.64
2014-05-30,40.79
2014-06-02,40.64
2014-06-03,40.84
2014-06-04,40.54
2014-06-05,39.64
2014-06-06,38.69
2014-06-09,38.34
2014-06-10,38.04
2014-06-11,38.34
2014-06-12,38.39
2014-06-13,38.54
2014-06-16,38.99
2014-06-17,38.09
2014-06-18,37.15
2014-06-19,36.4
2014-06-20,36.3
2014-06-23,36.6
2014-06-24,36.45
2014-06-25,37.0
2014-06-26,37.2
2014-06-27,37.15
2014-06-30,37.0
2014-07-01,36.45
2014-07-02,36.2
2014-07-03,35.65
2014-07-04,35.65
2014-07-07,36.05
2014-07-08,36.8
2014-07-09,36.45
2014-07-10,37.8
2014-07-11,37.75
2014-07-14,36.9
2014-07-15,37.15
2014-07-16,36.8
2014-07-17,37.5
2014-07-18,37.4
2014-07-21,37.8
2014-07-22,37.25
2014-07-23,37.2
2014-07-24,37.25
2014-07-25,37.8
2014-07-28,37.75
2014-07-29,37.55
2014-07-30,37.7
2014-07-31,38.8
2014-08-01,39.55
2014-08-04,39.4
2014-08-05,38.8
2014-08-06,39.15
2014-08-07,39.2
2014-08-08,40.975
2014-08-11,39.55
2014-08-12,39.85
2014-08-13,38.8
2014-08-14,38.25
2014-08-15,38.6
2014-08-18,37.8
2014-08-19,37.7
2014-08-20,37.85
2014-08-21,37.7
2014-08-22,37.8
2014-08-25,37.35
2014-08-26,37.3
2014-08-27,37.45
2014-08-28,38.1
2014-08-29,38.2
2014-09-01,38.225
2014-09-02,38.25
2014-09-03,37.9
2014-09-04,37.35
2014-09-05,37.4
2014-09-08,37.5
2014-09-09,37.7
2014-09-10,37.9
2014-09-11,38.0
2014-09-12,37.6
2014-09-15,37.95
2014-09-16,38.25
2014-09-17,37.6
2014-09-18,37.35
2014-09-19,36.95
2014-09-22,37.25
2014-09-23,37.85
2014-09-24,37.5
2014-09-25,37.9
2014-09-26,38.05
2014-09-29,38.3
2014-09-30,38.2
2014-10-01,38.85
2014-10-02,39.45
2014-10-03,38.65
2014-10-06,38.125
2014-10-07,39.25
2014-10-08,39.35
2014-10-09,38.85
2014-10-10,40.0
2014-10-13,40.9
2014-10-14,41.6
2014-10-15,43.3
2014-10-16,42.5
2014-10-17,41.65
2014-10-20,41.95
2014-10-21,41.2
2014-10-22,41.0
2014-10-23,41.0
2014-10-24,41.2
2014-10-27,41.5
2014-10-28,40.7
2014-10-29,40.7
2014-10-30,40.5
2014-10-31,40.15
2014-11-03,40.3
2014-11-04,40.85
2014-11-05,40.5
2014-11-06,40.35
2014-11-07,40.4
2014-11-10,39.85
2014-11-11,39.65
2014-11-12,39.95
2014-11-13,40.05
2014-11-14,40.15
2014-11-17,40.05
2014-11-18,
2014-11-19,40.25
2014-11-20,40.45
2014-11-21,40.1
2014-11-24,40.2
2014-11-25,40.2
2014-11-26,40.05
2014-11-27,40.0
2014-11-28,40.05
2014-12-01,40.45
2014-12-02,40.45
2014-12-03,39.95
2014-12-04,40.25
2014-12-05,39.8
2014-12-08,39.95
2014-12-09,41.4
2014-12-10,41.6
2014-12-11,42.05
2014-12-12,44.4
2014-12-15,45.25
2014-12-16,44.25
2014-12-17,44.85
2014-12-18,43.75
2014-12-19,43.95
2014-12-22,43.5
2014-12-23,43.45
2014-12-24,43.45
2014-12-25,
2014-12-26,
2014-12-29,44.35
2014-12-30,45.0
2014-12-31,45.0
2015-01-01,
2015-01-02,46.2
2015-01-05,47.5
2015-01-06,
2015-01-07,46.8
2015-01-08,45.3
2015-01-09,45.95
2015-01-12,46.2
2015-01-13,45.45
2015-01-14,46.45
2015-01-15,46.65
2015-01-16,46.9
2015-01-19,46.2
2015-01-20,45.8
2015-01-21,45.35
2015-01-22,44.3
2015-01-23,44.4
2015-01-26,44.4
2015-01-27,44.95
2015-01-28,44.8
2015-01-29,45.75
2015-01-30,46.35
2015-02-02,46.3
2015-02-03,45.65
2015-02-04,45.4
2015-02-05,45.5
2015-02-06,45.15
2015-02-09,46.45
2015-02-10,46.4
2015-02-11,46.7
2015-02-12,46.05
2015-02-13,45.9
2015-02-16,45.8
2015-02-17,46.0
2015-02-18,45.65
2015-02-19,45.6
2015-02-20,45.8
2015-02-23,45.15
2015-02-24,44.1
2015-02-25,43.75
2015-02-26,43.4
2015-02-27,43.45
2015-03-02,42.95
2015-03-03,43.6
2015-03-04,43.5
2015-03-05,43.1
2015-03-06,43.7
2015-03-09,43.4
2015-03-10,44.35
2015-03-11,44.45
2015-03-12,43.6
2015-03-13,44.1
2015-03-16,44.0
2015-03-17,44.05
2015-03-18,44.25
2015-03-19,44.5
2015-03-20,44.15
2015-03-23,44.1
2015-03-24,43.8
2015-03-25,44.75
2015-03-26,44.75
2015-03-27,44.8
2015-03-30,44.2
2015-03-31,44.95
2015-04-01,44.9
2015-04-02,44.4
2015-04-03,
2015-04-06,
2015-04-07,43.7
2015-04-08,43.6
2015-04-09,42.9
2015-04-10,42.5
2015-04-13,42.65
2015-04-14,42.85
2015-04-15,42.5
2015-04-16,43.05
2015-04-17,44.3
2015-04-20,43.4
2015-04-21,43.45
2015-04-22,43.6
2015-04-23,43.7
2015-04-24,43.6
2015-04-27,43.45
2015-04-28,43.3
2015-04-29,43.8
2015-04-30,44.1
2015-05-01,
2015-05-04,44.05
2015-05-05,44.5
2015-05-06,45.0
2015-05-07,44.55
2015-05-08,43.6
2015-05-11,43.75
2015-05-12,44.05
2015-05-13,44.25
2015-05-14,43.8
2015-05-15,43.85
2015-05-18,43.15
2015-05-19,42.75
2015-05-20,42.7
2015-05-21,42.25
2015-05-22,42.5
2015-05-25,
2015-05-26,43.15
2015-05-27,42.75
2015-05-28,43.35
2015-05-29,44.1
2015-06-01,44.2
2015-06-02,44.15
2015-06-03,43.45
2015-06-04,44.05
2015-06-05,44.0
2015-06-08,44.35
2015-06-09,44.05
2015-06-10,43.4
2015-06-11,43.3
2015-06-12,44.05
2015-06-15,44.65
2015-06-16,44.55
2015-06-17,45.3
2015-06-18,44.9
2015-06-19,44.95
2015-06-22,43.35
2015-06-23,42.9
2015-06-24,43.45
2015-06-25,43.65
2015-06-26,44.05
2015-06-29,46.4
2015-06-30,46.25
2015-07-01,45.3
2015-07-02,45.4
2015-07-03,45.5
2015-07-06,46.7
2015-07-07,45.8
2015-07-08,47.2
2015-07-09,46.1
2015-07-10,44.4
2015-07-13,43.8
2015-07-14,43.75
2015-07-15,43.6
2015-07-16,42.55
2015-07-17,42.85
2015-07-20,42.4
2015-07-21,40.5
2015-07-22,40.25
2015-07-23,40.5
2015-07-24,41.0
2015-07-27,41.7
2015-07-28,40.75
2015-07-29,40.45
2015-07-30,40.65
2015-07-31,40.55
2015-08-03,40.4
2015-08-04,40.0
2015-08-05,38.75
2015-08-06,38.95
2015-08-07,38.95
2015-08-10,38.65
2015-08-11,39.4
2015-08-12,39.5
2015-08-13,39.55
2015-08-14,39.45
2015-08-17,39.65
2015-08-18,39.85
2015-08-19,40.35
2015-08-20,40.6
2015-08-21,42.0
2015-08-24,43.9
2015-08-25,41.8
2015-08-26,43.1
2015-08-27,43.9
2015-08-28,45.1
2015-08-31,44.675
2015-09-01,
2015-09-02,46.5
2015-09-03,46.95
2015-09-04,48.5
2015-09-07,48.45
2015-09-08,47.25
2015-09-09,47.45
2015-09-10,47.15
2015-09-11,46.8
2015-09-14,49.15
2015-09-15,48.0
2015-09-16,46.8
2015-09-17,45.95
2015-09-18,48.35
2015-09-21,47.425
2015-09-22,49.15
2015-09-23,48.5
2015-09-24,48.8
2015-09-25,49.8
2015-09-28,50.15
2015-09-29,50.95
2015-09-30,50.1
2015-10-01,50.35
2015-10-02,49.25
2015-10-05,48.15
2015-10-06,48.1
2015-10-07,47.5
2015-10-08,46.95
2015-10-09,47.0
2015-10-12,46.15
2015-10-13,47.15
2015-10-14,47.35
2015-10-15,46.4
2015-10-16,46.05
2015-10-19,45.25
2015-10-20,45.45
2015-10-21,46.0
2015-10-22,45.0
2015-10-23,45.3
2015-10-26,45.55
2015-10-27,45.75
2015-10-28,45.2
2015-10-29,
2015-10-30,
2015-11-02,45.05
2015-11-03,45.15
2015-11-04,45.7
2015-11-05,45.4
2015-11-06,45.2
2015-11-09,46.2
2015-11-10,45.5
2015-11-11,45.45
2015-11-12,46.85
2015-11-13,47.65
2015-11-16,48.6
2015-11-17,49.15
2015-11-18,48.5
2015-11-19,48.9
2015-11-20,48.35
2015-11-23,48.0
2015-11-24,48.8
2015-11-25,47.95
2015-11-26,47.75
2015-11-27,48.2
2015-11-30,48.3
2015-12-01,48.15
2015-12-02,47.95
2015-12-03,49.25
2015-12-04,47.75
2015-12-07,46.05
2015-12-08,46.45
2015-12-09,46.7
2015-12-10,47.1
2015-12-11,47.95
2015-12-14,49.7
2015-12-15,47.8
2015-12-16,46.95
2015-12-17,46.7
2015-12-18,47.4
2015-12-21,47.45
2015-12-22,46.85
2015-12-23,45.8
2015-12-24,45.8
2015-12-25,
2015-12-28,46.5
2015-12-29,45.85
2015-12-30,46.3
2015-12-31,
2016-01-01,
2016-01-04,47.65
2016-01-05,47.25
2016-01-06,47.65
2016-01-07,48.6
2016-01-08,49.25
2016-01-11,48.5
2016-01-12,48.3
2016-01-13,49.6
2016-01-14,48.95
2016-01-15,50.6
2016-01-18,50.35
2016-01-19,50.7
2016-01-20,51.4
2016-01-21,51.35
2016-01-22,49.9
2016-01-25,50.45
2016-01-26,49.7
2016-01-27,50.2
2016-01-28,50.15
2016-01-29,49.15
2016-02-01,48.65
2016-02-02,50.25
2016-02-03,50.2
2016-02-04,50.7
2016-02-05,50.9
2016-02-08,51.7
2016-02-09,52.55
2016-02-10,52.55
2016-02-11,59.55
2016-02-12,59.5
2016-02-15,58.95
2016-02-16,58.2
2016-02-17,57.3
2016-02-18,57.75
2016-02-19,57.6
2016-02-22,56.7
2016-02-23,57.3
2016-02-24,57.55
2016-02-25,57.6
2016-02-26,57.5
2016-02-29,57.55
2016-03-01,55.95
2016-03-02,55.7
2016-03-03,54.95
2016-03-04,54.85
2016-03-07,55.25
2016-03-08,56.0
2016-03-09,55.8
2016-03-10,56.05
2016-03-11,54.5
2016-03-14,53.55
2016-03-15,53.75
2016-03-16,53.7
2016-03-17,53.7
2016-03-18,53.1
2016-03-21,53.0
2016-03-22,52.85
2016-03-23,53.5
2016-03-24,53.75
2016-03-25,
2016-03-28,
2016-03-29,53.15
2016-03-30,52.75
2016-03-31,53.5
2016-04-01,53.65
2016-04-04,53.85
2016-04-05,54.75
2016-04-06,53.75
2016-04-07,55.15
2016-04-08,54.3
2016-04-11,54.4
2016-04-12,53.8
2016-04-13,52.7
2016-04-14,52.45
2016-04-15,52.35
2016-04-18,51.4
2016-04-19,50.85
2016-04-20,48.5
2016-04-21,48.5
2016-04-22,48.5
2016-04-25,48.85
2016-04-26,48.15
2016-04-27,47.5
2016-04-28,48.25
2016-04-29,48.9
2016-05-02,48.95
2016-05-03,49.85
2016-05-04,50.0
2016-05-05,49.9
2016-05-06,49.1
2016-05-09,48.7
2016-05-10,48.25
2016-05-11,48.85
2016-05-12,48.7
2016-05-13,49.55
2016-05-16,48.8
2016-05-17,49.05
2016-05-18,48.8
2016-05-19,49.35
2016-05-20,48.75
2016-05-23,48.45
2016-05-24,47.55
2016-05-25,46.85
2016-05-26,47.0
2016-05-27,46.9
2016-05-30,46.8
2016-05-31,47.4
2016-06-01,47.85
2016-06-02,47.7
2016-06-03,48.0
2016-06-06,47.8
