DATETIME,PRICE
2007-06-21,102.19
2007-06-22,102.43
2007-06-25,102.45
2007-06-26,102.76
2007-06-27,102.53
2007-06-28,102.48
2007-06-29,102.75
2007-07-02,102.64
2007-07-03,102.66
2007-07-04,
2007-07-05,102.75
2007-07-06,102.74
2007-07-09,102.82
2007-07-10,103.09
2007-07-11,103.19
2007-07-12,103.15
2007-07-13,103.55
2007-07-16,103.72
2007-07-17,103.97
2007-07-18,104.35
2007-07-19,104.45
2007-07-20,104.95
2007-07-23,104.81
2007-07-24,105.69
2007-07-25,105.4
2007-07-26,106.57
2007-07-27,105.98
2007-07-30,105.67
2007-07-31,106.98
2007-08-01,107.07
2007-08-02,106.79
2007-08-03,107.83
2007-08-06,107.58
2007-08-07,106.85
2007-08-08,106.48
2007-08-09,108.71
2007-08-10,109.28
2007-08-13,108.41
2007-08-14,108.75
2007-08-15,108.86
2007-08-16,108.81
2007-08-17,109.09
2007-08-20,108.53
2007-08-21,108.42
2007-08-22,107.47
2007-08-23,107.62
2007-08-24,106.98
2007-08-27,107.23
2007-08-28,107.9
2007-08-29,107.72
2007-08-30,108.02
2007-08-31,108.08
2007-09-03,
2007-09-04,107.45
2007-09-05,108.16
2007-09-06,107.69
2007-09-07,107.97
2007-09-10,108.19
2007-09-11,107.79
2007-09-12,107.97
2007-09-13,107.74
2007-09-14,107.73
2007-09-17,107.85
2007-09-18,107.05
2007-09-19,106.52
2007-09-20,106.58
2007-09-21,105.96
2007-09-24,105.87
2007-09-25,105.85
2007-09-26,105.68
2007-09-27,105.66
2007-09-28,105.88
2007-10-01,105.84
2007-10-02,105.94
2007-10-03,106.18
2007-10-04,106.26
2007-10-05,105.86
2007-10-08,105.9
2007-10-09,105.61
2007-10-10,105.99
2007-10-11,106.22
2007-10-12,106.26
2007-10-15,106.93
2007-10-16,107.42
2007-10-17,107.66
2007-10-18,107.54
2007-10-19,108.2
2007-10-22,108.11
2007-10-23,107.79
2007-10-24,107.99
2007-10-25,108.02
2007-10-26,107.71
2007-10-29,107.65
2007-10-30,108.13
2007-10-31,107.41
2007-11-01,108.32
2007-11-02,109.49
2007-11-05,110.02
2007-11-06,109.61
2007-11-07,111.11
2007-11-08,110.57
2007-11-09,110.84
2007-11-12,110.89
2007-11-13,110.31
2007-11-14,110.33
2007-11-15,110.68
2007-11-16,111.11
2007-11-19,111.65
2007-11-20,111.85
2007-11-21,112.33
2007-11-22,
2007-11-23,112.0
2007-11-26,112.09
2007-11-27,111.7
2007-11-28,110.49
2007-11-29,110.39
2007-11-30,110.2
2007-12-03,110.15
2007-12-04,110.4
2007-12-05,110.04
2007-12-06,109.32
2007-12-07,109.41
2007-12-10,109.05
2007-12-11,109.75
2007-12-12,109.23
2007-12-13,109.67
2007-12-14,110.18
2007-12-17,111.0
2007-12-18,110.4
2007-12-19,110.44
2007-12-20,110.12
2007-12-21,109.47
2007-12-24,109.36
2007-12-25,
2007-12-26,109.27
2007-12-27,109.66
2007-12-28,109.67
2007-12-31,110.24
2008-01-01,
2008-01-02,110.35
2008-01-03,110.42
2008-01-04,110.95
2008-01-07,110.66
2008-01-08,111.45
2008-01-09,110.87
2008-01-10,110.53
2008-01-11,111.88
2008-01-14,111.28
2008-01-15,110.88
2008-01-16,110.88
2008-01-17,112.63
2008-01-18,112.39
2008-01-21,
2008-01-22,112.08
2008-01-23,111.38
2008-01-24,111.36
2008-01-25,111.76
2008-01-28,111.4
2008-01-29,111.17
2008-01-30,111.46
2008-01-31,110.9
2008-02-01,110.29
2008-02-04,110.58
2008-02-05,111.71
2008-02-06,112.23
2008-02-07,112.13
2008-02-08,112.63
2008-02-11,112.45
2008-02-12,111.85
2008-02-13,111.56
2008-02-14,111.82
2008-02-15,111.74
2008-02-18,
2008-02-19,111.34
2008-02-20,111.26
2008-02-21,111.26
2008-02-22,111.0
2008-02-25,110.53
2008-02-26,110.45
2008-02-27,110.53
2008-02-28,111.13
2008-02-29,112.23
2008-03-03,112.07
2008-03-04,111.88
2008-03-05,111.23
2008-03-06,112.61
2008-03-07,112.32
2008-03-10,112.94
2008-03-11,111.66
2008-03-12,112.39
2008-03-13,112.55
2008-03-14,113.62
2008-03-17,113.48
2008-03-18,111.51
2008-03-19,112.59
2008-03-20,112.24
2008-03-21,
2008-03-24,111.79
2008-03-25,112.0
