DATETIME,PRICE
2000-01-03,755.25
2000-01-04,754.0
2000-01-05,758.0
2000-01-06,757.5
2000-01-07,760.25
2000-01-10,763.0
2000-01-11,763.0
2000-01-12,767.75
2000-01-13,773.0
2000-01-14,774.0
2000-01-17,
2000-01-18,774.0
2000-01-19,774.75
2000-01-20,773.75
2000-01-21,772.0
2000-01-24,775.0
2000-01-25,772.5
2000-01-26,768.75
2000-01-27,772.0
2000-01-28,769.5
2000-01-31,766.0
2000-02-01,767.5
2000-02-02,766.5
2000-02-03,762.75
2000-02-04,766.75
2000-02-07,768.0
2000-02-08,768.0
2000-02-09,774.0
2000-02-10,780.75
2000-02-11,779.25
2000-02-14,778.5
2000-02-15,775.5
2000-02-16,775.5
2000-02-17,772.0
2000-02-18,774.25
2000-02-21,
2000-02-22,772.0
2000-02-23,764.75
2000-02-24,766.0
2000-02-25,757.75
2000-02-28,754.5
2000-02-29,757.5
2000-03-01,758.0
2000-03-02,756.75
2000-03-03,756.75
2000-03-06,759.0
2000-03-07,759.0
2000-03-08,761.5
2000-03-09,763.25
2000-03-10,759.5
2000-03-13,762.75
2000-03-14,770.75
2000-03-15,768.75
2000-03-16,765.5
2000-03-17,771.75
2000-03-20,766.5
2000-03-21,761.25
2000-03-22,762.25
2000-03-23,757.25
2000-03-24,753.5
2000-03-27,755.5
2000-03-28,750.75
2000-03-29,752.25
2000-03-30,756.75
2000-03-31,763.75
2000-04-03,758.75
2000-04-04,757.25
2000-04-05,757.25
2000-04-06,755.25
2000-04-07,759.0
2000-04-10,754.0
2000-04-11,753.75
2000-04-12,756.75
2000-04-13,759.25
2000-04-14,757.25
2000-04-17,754.75
2000-04-18,753.25
2000-04-19,754.0
2000-04-20,753.0
2000-04-21,
2000-04-24,753.0
2000-04-25,755.25
2000-04-26,750.5
2000-04-27,745.0
2000-04-28,745.0
2000-05-01,754.75
2000-05-02,755.25
2000-05-03,761.75
2000-05-04,765.5
2000-05-05,762.0
2000-05-08,758.25
2000-05-09,758.25
2000-05-10,764.75
2000-05-11,771.0
2000-05-12,773.25
2000-05-15,772.25
2000-05-16,770.5
2000-05-17,766.75
2000-05-18,761.5
2000-05-19,766.5
2000-05-22,770.5
2000-05-23,771.0
2000-05-24,769.25
2000-05-25,769.75
2000-05-26,771.25
2000-05-29,
2000-05-30,764.75
2000-05-31,764.75
2000-06-01,760.75
2000-06-02,762.5
2000-06-05,756.5
2000-06-06,758.0
2000-06-07,755.75
2000-06-08,757.5
2000-06-09,761.0
2000-06-12,757.0
2000-06-13,756.25
2000-06-14,752.5
2000-06-15,754.0
2000-06-16,754.75
2000-06-19,760.0
2000-06-20,765.0
2000-06-21,768.5
2000-06-22,769.25
2000-06-23,764.75
2000-06-26,766.25
2000-06-27,765.25
2000-06-28,764.25
2000-06-29,764.75
2000-06-30,751.5
2000-07-03,737.5
2000-07-04,
2000-07-05,738.25
2000-07-06,734.25
2000-07-07,734.5
2000-07-10,737.5
2000-07-11,736.75
2000-07-12,732.5
2000-07-13,735.25
2000-07-14,728.75
2000-07-17,725.0
2000-07-18,722.0
2000-07-19,725.0
2000-07-20,727.75
2000-07-21,727.5
2000-07-24,725.75
2000-07-25,726.25
2000-07-26,725.25
2000-07-27,726.75
2000-07-28,729.0
2000-07-31,727.0
2000-08-01,726.0
2000-08-02,727.5
2000-08-03,723.0
2000-08-04,719.0
2000-08-07,715.75
2000-08-08,718.5
2000-08-09,717.25
2000-08-10,717.5
2000-08-11,718.25
2000-08-14,719.75
2000-08-15,722.0
2000-08-16,724.75
2000-08-17,720.75
2000-08-18,720.25
2000-08-21,717.5
2000-08-22,716.0
2000-08-23,715.25
2000-08-24,722.25
2000-08-25,723.5
2000-08-28,724.25
2000-08-29,731.75
2000-08-30,727.25
2000-08-31,731.25
2000-09-01,730.5
2000-09-04,
2000-09-05,732.5
2000-09-06,727.0
2000-09-07,728.5
2000-09-08,729.25
2000-09-11,728.5
2000-09-12,723.75
2000-09-13,720.0
2000-09-14,717.25
2000-09-15,715.25
2000-09-18,719.25
2000-09-19,712.25
2000-09-20,713.25
2000-09-21,711.0
2000-09-22,714.0
2000-09-25,717.25
2000-09-26,717.75
2000-09-27,721.75
2000-09-28,721.75
2000-09-29,724.75
2000-10-02,727.75
2000-10-03,729.75
2000-10-04,728.75
2000-10-05,728.75
2000-10-06,729.75
2000-10-09,728.75
2000-10-10,736.75
2000-10-11,738.25
2000-10-12,737.75
2000-10-13,729.75
2000-10-16,733.25
2000-10-17,731.25
2000-10-18,726.75
2000-10-19,724.25
2000-10-20,724.75
2000-10-23,720.25
2000-10-24,720.75
2000-10-25,718.75
2000-10-26,720.25
2000-10-27,722.75
2000-10-30,719.5
2000-10-31,719.5
2000-11-01,719.0
2000-11-02,723.75
2000-11-03,728.75
2000-11-06,727.25
2000-11-07,727.25
2000-11-08,729.75
2000-11-09,724.25
2000-11-10,723.25
2000-11-13,724.5
2000-11-14,722.75
2000-11-15,720.75
2000-11-16,722.25
2000-11-17,724.25
2000-11-20,723.75
2000-11-21,722.75
2000-11-22,724.75
2000-11-23,
2000-11-24,728.25
2000-11-27,726.25
2000-11-28,723.75
2000-11-29,721.25
2000-11-30,724.0
2000-12-01,727.25
2000-12-04,729.25
2000-12-05,727.75
2000-12-06,728.25
2000-12-07,723.25
2000-12-08,725.25
2000-12-11,723.75
2000-12-12,723.25
2000-12-13,722.75
2000-12-14,719.75
2000-12-15,718.0
2000-12-18,720.25
2000-12-19,724.25
2000-12-20,722.5
2000-12-21,724.25
2000-12-22,726.75
2000-12-25,
2000-12-26,726.25
2000-12-27,723.25
2000-12-28,723.25
2000-12-29,731.25
2001-01-01,
2001-01-02,728.25
2001-01-03,735.25
2001-01-04,736.75
2001-01-05,736.25
2001-01-08,735.25
2001-01-09,737.75
2001-01-10,741.25
2001-01-11,742.0
2001-01-12,741.25
2001-01-15,
2001-01-16,737.75
2001-01-17,736.25
2001-01-18,738.0
2001-01-19,738.75
2001-01-22,738.75
2001-01-23,740.25
2001-01-24,740.25
2001-01-25,737.25
2001-01-26,731.75
2001-01-29,724.75
2001-01-30,726.25
2001-01-31,728.5
2001-02-01,725.5
2001-02-02,727.5
2001-02-05,724.75
2001-02-06,723.0
2001-02-07,724.25
2001-02-08,723.25
2001-02-09,722.5
2001-02-12,717.25
2001-02-13,719.25
2001-02-14,722.5
2001-02-15,722.75
2001-02-16,720.0
2001-02-19,
2001-02-20,721.0
2001-02-21,716.75
2001-02-22,713.0
2001-02-23,713.5
2001-02-26,713.0
2001-02-27,712.75
2001-02-28,719.5
2001-03-01,718.5
2001-03-02,721.5
2001-03-05,725.0
2001-03-06,724.0
2001-03-07,721.75
2001-03-08,722.5
2001-03-09,722.75
2001-03-12,728.25
2001-03-13,727.5
2001-03-14,725.75
2001-03-15,716.75
2001-03-16,713.0
2001-03-19,711.5
2001-03-20,714.0
2001-03-21,709.75
2001-03-22,704.25
2001-03-23,705.75
2001-03-26,710.5
2001-03-27,710.5
2001-03-28,708.0
2001-03-29,708.0
2001-03-30,699.25
2001-04-02,703.0
2001-04-03,705.75
2001-04-04,707.75
2001-04-05,708.5
2001-04-06,706.25
2001-04-09,704.5
2001-04-10,702.5
2001-04-11,705.0
2001-04-12,711.25
2001-04-13,
2001-04-16,714.25
2001-04-17,710.25
2001-04-18,712.0
2001-04-19,710.75
2001-04-20,710.0
2001-04-23,708.25
2001-04-24,707.5
2001-04-25,712.75
2001-04-26,714.5
2001-04-27,709.25
2001-04-30,715.5
2001-05-01,714.75
2001-05-02,711.75
2001-05-03,706.5
2001-05-04,706.5
2001-05-07,702.75
2001-05-08,700.0
2001-05-09,699.0
2001-05-10,701.75
2001-05-11,704.0
2001-05-14,711.25
2001-05-15,710.0
2001-05-16,708.25
2001-05-17,708.5
2001-05-18,704.0
2001-05-21,696.0
2001-05-22,692.0
2001-05-23,692.5
2001-05-24,694.25
2001-05-25,692.0
2001-05-28,
2001-05-29,697.0
2001-05-30,696.5
2001-05-31,699.25
2001-06-01,702.25
2001-06-04,696.25
2001-06-05,693.0
2001-06-06,695.0
2001-06-07,697.0
2001-06-08,696.75
2001-06-11,694.25
2001-06-12,696.75
2001-06-13,696.5
2001-06-14,693.0
2001-06-15,689.25
2001-06-18,696.5
2001-06-19,695.0
2001-06-20,690.0
2001-06-21,689.0
2001-06-22,685.0
2001-06-25,679.25
2001-06-26,681.75
2001-06-27,681.0
2001-06-28,677.25
2001-06-29,680.25
2001-07-02,684.25
2001-07-03,686.75
2001-07-04,
2001-07-05,689.75
2001-07-06,692.25
2001-07-09,691.0
2001-07-10,693.75
2001-07-11,695.5
2001-07-12,711.25
2001-07-13,707.25
2001-07-16,703.75
2001-07-17,711.25
2001-07-18,709.75
2001-07-19,710.25
2001-07-20,705.25
2001-07-23,705.0
2001-07-24,703.5
2001-07-25,703.75
2001-07-26,701.75
2001-07-27,701.75
2001-07-30,698.75
2001-07-31,699.75
2001-08-01,696.25
2001-08-02,691.75
2001-08-03,687.25
2001-08-06,687.0
2001-08-07,690.0
2001-08-08,691.5
2001-08-09,693.5
2001-08-10,692.75
2001-08-13,694.75
2001-08-14,691.5
2001-08-15,689.25
2001-08-16,690.25
2001-08-17,690.0
2001-08-20,688.5
2001-08-21,690.75
2001-08-22,693.25
2001-08-23,699.0
2001-08-24,696.5
2001-08-27,695.5
2001-08-28,691.5
2001-08-29,695.25
2001-08-30,693.0
2001-08-31,696.25
2001-09-03,
2001-09-04,694.75
2001-09-05,692.75
2001-09-06,688.5
2001-09-07,687.5
2001-09-10,688.0
2001-09-11,
2001-09-12,
2001-09-13,689.25
2001-09-14,679.5
2001-09-17,681.75
2001-09-18,674.75
2001-09-19,672.75
2001-09-20,675.25
2001-09-21,674.25
2001-09-24,676.75
2001-09-25,677.75
2001-09-26,675.75
2001-09-27,674.75
2001-09-28,671.75
2001-10-01,669.75
2001-10-02,665.75
2001-10-03,669.25
2001-10-04,672.25
2001-10-05,671.25
2001-10-08,666.75
2001-10-09,666.25
2001-10-10,668.75
2001-10-11,669.75
2001-10-12,667.75
2001-10-15,667.25
2001-10-16,669.75
2001-10-17,671.75
2001-10-18,672.75
2001-10-19,676.25
2001-10-22,674.75
2001-10-23,676.25
2001-10-24,675.75
2001-10-25,680.25
2001-10-26,686.75
2001-10-29,682.0
2001-10-30,683.5
2001-10-31,683.25
2001-11-01,680.75
2001-11-02,679.25
2001-11-05,680.75
2001-11-06,681.25
2001-11-07,683.75
2001-11-08,680.75
2001-11-09,680.75
2001-11-12,678.75
2001-11-13,674.75
2001-11-14,677.75
2001-11-15,678.0
2001-11-16,677.75
2001-11-19,682.25
2001-11-20,679.75
2001-11-21,680.75
2001-11-22,
2001-11-23,679.75
2001-11-26,672.25
2001-11-27,672.25
2001-11-28,668.75
2001-11-29,668.75
2001-11-30,676.25
2001-12-03,672.25
2001-12-04,670.75
2001-12-05,672.75
