CONTRACT,MATURITY,QUANTITY
AEX,201612,0
AUD,201612,0
BOBL,201612,-3
BTP,201612,0
BUND,201612,0
CAC,201612,0
COPPER,201612,1
CORN,201712,-2
CRUDE_W,201712,0
EDOLLAR,201912,-1
EUR,201612,-1
EUROSTX,201612,0
GAS_US,201702,-1
GBP,201612,-1
GOLD,201612,-1
JPY,201612,-1
KOSPI,201612,0
KR10,201612,-2
KR3,201612,-1
LEANHOG,201706,-1
LIVECOW,201710,-1
MXP,201612,-1
NASDAQ,201612,0
NZD,201612,0
OAT,201612,0
PALLAD,201612,0
PLAT,201701,0
SMI,201612,0
SOYBEAN,201711,3
SP500,201612,0
US10,201703,0
US2,201703,-2
US20,201703,0
US5,201703,0
V2X,201701,-9
VIX,201701,-2
WHEAT,201712,-5
